,row_name,col_name,R2
436,Qst_CH4,DC_CO2 log10,0.05620957454556997
221,K0_CH4,Qst_H2S,0.053074030300944236
128,GSA (m2/g),K0_CH4,0.0519305170147917
75,Density (g/cc),DC_H2S,0.050834973994096436
554,DC_CO2 log10,P_H2S log10,0.05041050569832738
92,Density (g/cc),DC_H2S log10,0.04854511788499628
145,GSA (m2/g),K0_CH4 log10,0.04791734932612517
350,DC_CO2,P_H2S log10,0.04619059756672403
450,Qst_CO2,DC_CH4 log10,0.04462929287523352
30,PLD,P_CH4 log10,0.04450162925913649
492,PLD log10,P_CH4 log10,0.044424526400465736
552,DC_CO2 log10,P_CH4 log10,0.04387283348412638
73,Density (g/cc),DC_CH4,0.04201347381862844
530,K0_CO2 log10,P_CH4 log10,0.04171238418148616
348,DC_CO2,P_CH4 log10,0.040912431566563615
90,Density (g/cc),DC_CH4 log10,0.040488066454524844
320,DC_CH4,K0_CH4 log10,0.037911579429181115
388,P_CH4,P_CO2 log10,0.03774927816552623
373,P_CH4,Qst_CH4,0.0366621537319158
88,Density (g/cc),K0_H2S log10,0.036649076732188486
227,K0_CH4,K0_CO2 log10,0.03578177170202392
87,Density (g/cc),K0_CO2 log10,0.03495196505101941
499,LCD log10,K0_H2O log10,0.0348534853297515
314,DC_CH4,Qst_CO2,0.03427627073466296
473,Qst_H2O,K0_CH4 log10,0.03399379379567834
58,LCD,K0_H2O log10,0.033903621386634185
406,P_CO2,P_CO2 log10,0.03385213465822656
471,Qst_H2O,LCD log10,0.03296507510026699
200,PV (cc/g),K0_CH4 log10,0.032286588636757894
384,P_CH4,DC_CH4 log10,0.0319367694543559
259,K0_CO2,P_CO2 log10,0.03156079567971748
230,K0_CH4,DC_CH4 log10,0.03134172265629149
51,LCD,Qst_H2O,0.031167379449748397
183,PV (cc/g),K0_CH4,0.029161875531738914
222,K0_CH4,Qst_H2O,0.028273356929912636
518,K0_CH4 log10,K0_H2O log10,0.028168328115289343
369,DC_H2S,P_CO2 log10,0.028045782223890932
424,P_H2S,P_H2S log10,0.02728841500029064
488,PLD log10,K0_H2O log10,0.026691920849433715
117,VSA (m2/cc),K0_CO2 log10,0.026169132064670975
331,DC_CO2,P_CH4,0.02612786948117285
124,VSA (m2/cc),P_CO2 log10,0.02587764610199059
229,K0_CH4,K0_H2O log10,0.02482509105786668
470,Qst_H2O,PLD log10,0.02469639088810436
399,P_CO2,K0_CO2 log10,0.02357917631408618
180,VF,P_CH4 log10,0.023573601526568854
196,PV (cc/g),Qst_H2O,0.023230219633935328
417,P_H2S,K0_H2S log10,0.02284068155959731
26,PLD,K0_H2O log10,0.022782007205390035
252,K0_CO2,K0_CO2 log10,0.02243140980038624
225,K0_CH4,PV (cc/g) log10,0.021889741319917545
284,K0_H2S,P_H2S log10,0.02177283264419263
386,P_CH4,DC_H2S log10,0.021608677033375212
277,K0_H2S,K0_H2S log10,0.020850763003118198
19,PLD,Qst_H2O,0.020539026112874528
301,K0_H2O,K0_H2O log10,0.020121829265867697
82,Density (g/cc),Qst_H2O,0.01994944068721108
203,PV (cc/g),K0_H2O log10,0.01991488257185131
410,P_H2S,Qst_H2S,0.019846717222483802
472,Qst_H2O,PV (cc/g) log10,0.01979766086375469
527,K0_CO2 log10,DC_CH4 log10,0.0190495307367154
207,PV (cc/g),P_CH4 log10,0.018931349465614113
270,K0_H2S,Qst_H2S,0.01871735649376399
446,Qst_CO2,K0_CH4 log10,0.017728497930081036
382,P_CH4,K0_H2S log10,0.01747046480646611
294,K0_H2O,Qst_H2O,0.016532032174657624
89,Density (g/cc),K0_H2O log10,0.01598377281366892
513,PV (cc/g) log10,P_CH4 log10,0.015533937433118993
392,P_CO2,Qst_CO2,0.015169023168459675
509,PV (cc/g) log10,K0_H2O log10,0.015083625798116694
245,K0_CO2,Qst_CO2,0.014584964442379117
86,Density (g/cc),K0_CH4 log10,0.013637404347665602
321,DC_CH4,K0_CO2 log10,0.012737270599473436
378,P_CH4,LCD log10,0.012475697226353095
141,GSA (m2/g),Qst_H2O,0.011369399263689385
299,K0_H2O,K0_CO2 log10,0.0112940868287661
292,K0_H2O,Qst_CO2,0.011190557493158537
220,K0_CH4,Qst_CO2,0.010696834109568242
163,VF,P_CH4,0.010227031712805035
506,PV (cc/g) log10,K0_CH4 log10,0.00960692091301291
306,K0_H2O,P_CO2 log10,0.008838350499862008
