MOF Name,PLD,LCD,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),K0_CH4,K0_CO2,K0_H2S,K0_H2O,DC_CH4,DC_CO2,DC_H2S,P_CH4,P_CO2,P_H2S,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O
AFITIT_stripped.cif,5.37167,7.3314,1.01683,1115.83,1097.37,0.55594,0.54674,1.86E-05,6.28E-05,0.000240535,4.00E-06,0.000270797,0.000123963,0.000152363,1531809.791,2364299.117,11124045.48,-20.06130737,-25.62375414,-28.72010457,-16.83541012
AFOTOF_stripped.cif,6.7761,8.81879,1.07439,1472.61,1370.66,0.62198,0.578916,2.93E-05,0.000772737,0.000651462,902368,0.000116297,1.39E-05,4.34E-05,1093928.701,3450691.656,9060265.913,-23.36427479,-39.9381076,-33.72695744,-87.6537958
AFOTUL_stripped.cif,6.81342,8.81317,1.05968,1504.32,1419.59,0.62572,0.590479,2.83E-05,0.000705292,0.000628571,6124.52,0.000162152,7.40E-06,2.14E-05,1450431.679,1650935.371,4253952.588,-23.07685006,-39.57620442,-33.64845124,-91.70119124
AFOVAT_stripped.cif,6.53908,8.35647,1.04077,1488.96,1430.63,0.62044,0.596134,2.81E-05,0.000198626,0.000531149,10.4112,0.000112181,3.65E-05,5.52E-05,979617.7248,2252749.046,9109713.308,-22.90806997,-31.80233327,-33.07020759,-71.47944446
AFOVEX_stripped.cif,6.86802,8.82986,1.02206,1498.63,1466.29,0.62982,0.616227,2.81E-05,0.00179216,0.000747996,81764.2,0.000168357,1.47E-05,4.00E-05,1441679.458,8054191.401,9119248.851,-22.96056836,-43.74334872,-34.04333453,-96.90801362
AFOVIB_stripped.cif,6.74437,8.80291,1.09481,1482.59,1354.19,0.62014,0.566434,3.02E-05,0.00017005,0.000598338,1.86842,6.83E-05,6.16E-05,2.68E-05,675312.0485,3422214.615,5239976.482,-23.61734523,-31.52334574,-33.97408603,-69.21311062
AFUJUI_stripped.cif,3.91477,6.22377,1.15294,950.843,824.711,0.51948,0.450569,2.70E-05,8.66E-05,0.000358006,4.53E-06,0.000180196,0.000173551,0.000100307,1674181.747,5170743.485,12359016.32,-20.96591794,-26.4461688,-29.01251568,-18.21335256
AFUKAP_stripped.cif,4.95529,7.35231,0.959143,1305.85,1361.47,0.58552,0.610462,1.68E-05,5.56E-05,0.000177139,1.27E-05,0.000351915,0.000242969,0.000122648,1692008.418,3865212.187,6220324.178,-18.93756787,-24.37150377,-27.18123199,-26.6209388
AFUKET_stripped.cif,4.78462,5.97459,0.959709,1397.98,1456.67,0.58756,0.612227,6.68E-05,0.000761371,0.00136539,114.824,8.44E-05,6.69E-05,4.15E-05,1616887.044,14585070.06,16243714.84,-25.24044861,-40.61301694,-34.96031156,-80.85237597
AFUPEX_stripped.cif,4.58752,5.44762,1.38641,1768.78,1275.8,0.6308,0.454988,1.13E-05,0.000404503,0.000355654,11.4658,0.000840172,0.000132191,0.000194834,3942074.598,22129365.93,28677325.07,-17.37821217,-33.9883419,-29.57316341,-71.69623601
AGADUI_stripped.cif,3.85261,4.43398,1.3477,98.5762,73.1441,0.36156,0.26828,5.18E-06,1.70E-05,8.47E-05,5.79E-07,0.000166104,0.000112009,6.75E-05,346300.1991,766580.6009,2301423.182,-23.43306818,-28.56975728,-31.51643449,-16.1982519
AGARUW_stripped.cif,6.24303,6.77245,1.77195,1099.77,620.654,0.51774,0.292187,5.13E-06,0.000145942,0.000155498,27.1763,0.000749678,6.64E-05,9.98E-05,2036108.91,5123380.132,8208314.762,-16.10650952,-35.21138875,-30.38358577,-74.7409815
AGASUX_stripped.cif,3.87083,4.58084,1.16158,482.85,415.685,0.46812,0.403004,2.49E-05,0.000208438,0.000808228,9.17E-06,5.26E-05,2.61E-05,3.68E-05,454994.9729,1887232.771,10308936.44,-24.73532557,-34.10227303,-35.9647014,-22.60147201
AGAWOU_stripped.cif,4.56528,5.80992,1.01998,2053.27,2013.06,0.668,0.654916,9.75E-06,5.31E-05,0.000201075,0.00317551,0.000977115,0.000396446,0.000603009,2901571.927,6408118.002,36917180.23,-15.6743596,-23.05385819,-25.59659639,-43.50382846
AGAWUA_stripped.cif,5.14929,7.22813,1.10112,1315.16,1194.39,0.59896,0.543958,2.57E-05,0.000970098,0.000613557,9.43493,0.00028738,1.44E-05,5.17E-05,2426343.702,4590516.89,10418808.94,-19.29135029,-39.51807463,-32.69448048,-69.4676989
AGAXEL_stripped.cif,5.84557,6.17309,1.08529,1304.39,1201.88,0.59678,0.549879,2.77E-05,0.00207062,0.00209375,6.03537,0.000830403,1.81E-05,4.90E-05,7457081.888,12167846.51,33266748.02,-18.86090724,-40.10985332,-37.48014494,-65.23523048
