,row_name,col_name,R2
228,K0_CH4,K0_H2S log10,0.13710274697468147
205,PV (cc/g),DC_CO2 log10,0.1341232145359288
364,DC_H2S,K0_H2O log10,0.13330954876559703
27,PLD,DC_CH4 log10,0.13176157793896293
523,K0_CH4 log10,P_CO2 log10,0.1303634183499774
511,PV (cc/g) log10,DC_CO2 log10,0.1303369777957261
334,DC_CO2,Qst_CH4,0.12963254251379971
553,DC_CO2 log10,P_CO2 log10,0.1287528609823678
508,PV (cc/g) log10,K0_H2S log10,0.12740727749222003
464,Qst_H2S,DC_CH4 log10,0.12374977065803144
74,Density (g/cc),DC_CO2,0.1235644072741345
438,Qst_CH4,P_CH4 log10,0.12328580093573484
206,PV (cc/g),DC_H2S log10,0.1201560034982995
439,Qst_CH4,P_CO2 log10,0.12004008202916329
360,DC_H2S,PV (cc/g) log10,0.11890855908040752
351,DC_H2S,P_CH4,0.11886939471033443
55,LCD,K0_CH4 log10,0.11844572538118006
317,DC_CH4,PLD log10,0.11335145695641753
325,DC_CH4,DC_CO2 log10,0.11321683996871426
104,VSA (m2/cc),DC_CO2,0.11090456533664524
500,LCD log10,DC_CH4 log10,0.10913486107785436
10,PLD,DC_CH4,0.1081339155452932
59,LCD,DC_CH4 log10,0.10761843057879003
83,Density (g/cc),PLD log10,0.1071188784301044
162,VF,DC_H2S,0.10440718315125445
512,PV (cc/g) log10,DC_H2S log10,0.10379694190045373
42,LCD,DC_CH4,0.10306688719752012
208,PV (cc/g),P_CO2 log10,0.10219598549441351
1,PLD,Density (g/cc),0.09873444246534085
44,LCD,DC_H2S,0.09865514129231576
167,VF,Qst_CO2,0.09835499239551207
501,LCD log10,DC_CO2 log10,0.09828941289054109
354,DC_H2S,Qst_CH4,0.09778770739297106
81,Density (g/cc),Qst_H2S,0.09723688396059363
60,LCD,DC_CO2 log10,0.0960527214289969
358,DC_H2S,PLD log10,0.0953046217356528
122,VSA (m2/cc),DC_H2S log10,0.0950144500009374
234,K0_CH4,P_CO2 log10,0.09466880469479781
105,VSA (m2/cc),DC_H2S,0.09459163728281395
425,Qst_CH4,Qst_CO2,0.09372261279585513
490,PLD log10,DC_CO2 log10,0.09307597154475862
315,DC_CH4,Qst_H2S,0.0928664925664704
237,K0_CO2,K0_H2O,0.09225989535116391
289,K0_H2O,P_CO2,0.09223630743381633
310,DC_CH4,P_CH4,0.0912608970656914
91,Density (g/cc),DC_CO2 log10,0.09108966633867102
224,K0_CH4,LCD log10,0.09077344707984693
223,K0_CH4,PLD log10,0.09050709667216127
179,VF,DC_H2S log10,0.08894808035141566
432,Qst_CH4,K0_CO2 log10,0.08878579696252756
514,PV (cc/g) log10,P_CO2 log10,0.08859188270019244
118,VSA (m2/cc),K0_H2S log10,0.08839240141293304
389,P_CH4,P_H2S log10,0.0878635793630825
12,PLD,DC_H2S,0.08624388099368346
201,PV (cc/g),K0_CO2 log10,0.0840455185679935
349,DC_CO2,P_CO2 log10,0.08343017558354603
318,DC_CH4,LCD log10,0.08284624624750658
545,K0_H2O log10,P_H2S log10,0.08254455521266565
80,Density (g/cc),Qst_CO2,0.08221480381766476
28,PLD,DC_CO2 log10,0.08148278249752855
437,Qst_CH4,DC_H2S log10,0.08106767334473053
178,VF,DC_CO2 log10,0.08065560196086541
534,K0_H2S log10,DC_CH4 log10,0.07925283913359767
99,VSA (m2/cc),K0_CH4,0.07902896091736789
359,DC_H2S,LCD log10,0.07883656142625499
79,Density (g/cc),Qst_CH4,0.0788019857522701
491,PLD log10,DC_H2S log10,0.07690542880380738
173,VF,K0_CH4 log10,0.07649653188961675
