,MOF,TSN Class,Predictions,TSN,Correct,,,
99,CAJQEL_stripped.cif,LOW,LOW,6.708343985,TRUE,,,
571,QOWRAV07_stripped.cif,LOW,LOW,6.704344336,TRUE,,,
384,NEDVUP_stripped.cif,LOW,LOW,6.68855491,TRUE,,,
402,ALEJEI_stripped.cif,LOW,LOW,6.679596787,TRUE,,,
214,RUYQIN02_stripped.cif,LOW,LOW,6.677280664,TRUE,,,
194,WADPAT_stripped.cif,LOW,LOW,6.64527962,TRUE,,,
496,XAMDUM05_stripped.cif,LOW,LOW,6.643953063,TRUE,,,
223,YIHZEW_stripped.cif,LOW,HIGH,6.630319786,FALSE,,,
743,QOWRAV04_stripped.cif,LOW,LOW,6.621041425,TRUE,,,
649,FUSMEM_stripped.cif,LOW,LOW,6.575762477,TRUE,,,
125,QOWRAV05_stripped.cif,LOW,LOW,6.564698065,TRUE,,,
273,POKGEC_stripped.cif,LOW,HIGH,6.55809037,FALSE,,,
373,NAYXOC_stripped.cif,LOW,LOW,6.550055559,TRUE,,,
262,HALHEJ_stripped.cif,LOW,LOW,6.543590436,TRUE,,,
106,VIXPUP02_stripped.cif,LOW,LOW,6.532508939,TRUE,,,
709,JOFKIA01_stripped.cif,LOW,LOW,6.526829323,TRUE,,,
338,POSGOV_stripped.cif,LOW,LOW,6.49293483,TRUE,,,
101,VEGPUU_stripped.cif,LOW,LOW,6.49077098,TRUE,,,
659,GUHPEG_stripped.cif,LOW,HIGH,6.483126655,FALSE,,,
528,CUQTEP_stripped.cif,LOW,LOW,6.472291603,TRUE,,,
256,ITITUC_stripped.cif,LOW,HIGH,6.465683107,FALSE,,,
148,UKAQAZ_stripped.cif,LOW,LOW,6.445251042,TRUE,,,
361,UPORIB_stripped.cif,LOW,LOW,6.439297795,TRUE,,,
768,SOKNOX_stripped.cif,LOW,LOW,6.408358671,TRUE,,,
440,UXISUR_stripped.cif,LOW,LOW,6.401755427,TRUE,,,
135,YOYBUL_stripped.cif,LOW,LOW,6.376984399,TRUE,,,
290,UKAQED_stripped.cif,LOW,LOW,6.358170072,TRUE,,,
217,AGUVAA_stripped.cif,LOW,LOW,6.352697659,TRUE,,,
584,XAWDOR_stripped.cif,LOW,LOW,6.351183734,TRUE,,,
583,FURQOZ_stripped.cif,LOW,LOW,6.332939611,TRUE,,,
165,FIQCEN_stripped.cif,LOW,LOW,6.300723442,TRUE,,,
221,OFOCUI_stripped.cif,LOW,LOW,6.273020004,TRUE,,,
254,TANBIV_stripped.cif,LOW,LOW,6.248846357,TRUE,,,
675,TELDOF_stripped.cif,LOW,LOW,6.238537748,TRUE,,,
291,CAVWOO_stripped.cif,LOW,LOW,6.235050153,TRUE,,,
702,OKITAE_stripped.cif,LOW,LOW,6.232173375,TRUE,,,
511,RUYTIQ_stripped.cif,LOW,LOW,6.201778333,TRUE,,,
730,LUDLIH_stripped.cif,LOW,LOW,6.200278927,TRUE,,,
497,NIYZIG_stripped.cif,LOW,LOW,6.197089909,TRUE,,,
128,TOLGOR_stripped.cif,LOW,HIGH,6.196834528,FALSE,,,
92,GIYJAB_stripped.cif,LOW,LOW,6.180135029,TRUE,,,
780,HUDWOU_stripped.cif,LOW,LOW,6.177902405,TRUE,,,
643,WEMDUP_stripped.cif,LOW,LOW,6.172916566,TRUE,,,
269,KUWCIQ_stripped.cif,LOW,LOW,6.167127015,TRUE,,,
784,RUXBAP_stripped.cif,LOW,LOW,6.166564418,TRUE,,,
624,SOPLAM_stripped.cif,LOW,LOW,6.148238853,TRUE,,,
179,RUGXEY_stripped.cif,LOW,LOW,6.147526027,TRUE,,,
369,NAGBUU_stripped.cif,LOW,LOW,6.137171529,TRUE,,,
537,KUNSAP_stripped.cif,LOW,LOW,6.136880711,TRUE,,,
669,APARAM_stripped.cif,LOW,LOW,6.130524188,TRUE,,,
200,METPAC_stripped.cif,LOW,LOW,6.122704378,TRUE,,,
124,OTOZII_stripped.cif,LOW,LOW,6.087371194,TRUE,,,
213,BAVFIP_stripped.cif,LOW,LOW,6.080881244,TRUE,,,
772,EQUBOI_stripped.cif,LOW,LOW,6.076507534,TRUE,,,
334,VEGPOO_stripped.cif,LOW,LOW,6.060043337,TRUE,,,
708,EBIDAW_stripped.cif,LOW,LOW,6.059369585,TRUE,,,
677,REWNEO01_stripped.cif,LOW,LOW,6.05794845,TRUE,,,
248,UBINUQ_stripped.cif,LOW,LOW,6.052334093,TRUE,,,
710,DOTSOV36_stripped.cif,LOW,LOW,6.03767224,TRUE,,,
756,DOTSOV33_stripped.cif,LOW,LOW,6.02536042,TRUE,,,
714,LUPTAS_stripped.cif,LOW,LOW,6.023592668,TRUE,,,
597,DIDBID_stripped.cif,LOW,LOW,6.021382433,TRUE,,,
299,ETIXIQ_stripped.cif,LOW,LOW,5.948183371,TRUE,,,
545,QUNVOM_stripped.cif,LOW,LOW,5.940094976,TRUE,,,
586,SADLOA_stripped.cif,LOW,LOW,5.932803688,TRUE,,,
112,JECFON_stripped.cif,LOW,LOW,5.927667163,TRUE,,,
608,ODEJEO_stripped.cif,LOW,LOW,5.913621243,TRUE,,,
546,ESUSOC02_stripped.cif,LOW,LOW,5.900512477,TRUE,,,
324,HUFHUN_stripped.cif,LOW,LOW,5.885201253,TRUE,,,
289,DOTSOV35_stripped.cif,LOW,LOW,5.88350056,TRUE,,,
612,DOTSOV30_stripped.cif,LOW,LOW,5.869216125,TRUE,,,
246,CAXTOM_stripped.cif,LOW,LOW,5.868906226,TRUE,,,
163,HURGEH_stripped.cif,LOW,LOW,5.865200045,TRUE,,,
243,HULCOI_stripped.cif,LOW,LOW,5.859361906,TRUE,,,
706,RAWPOV_stripped.cif,LOW,HIGH,5.856927233,FALSE,,,
755,NESSOV_stripped.cif,LOW,LOW,5.855760064,TRUE,,,
379,MAQBIS_stripped.cif,LOW,LOW,5.848304445,TRUE,,,
601,DOTSOV06_stripped.cif,LOW,LOW,5.846057503,TRUE,,,
228,AHOZIG_stripped.cif,LOW,HIGH,5.833741645,FALSE,,,
745,UHESIK_stripped.cif,LOW,LOW,5.822873481,TRUE,,,
626,UKAQIH_stripped.cif,LOW,LOW,5.822421068,TRUE,,,
485,RUWYIT_stripped.cif,LOW,LOW,5.820150377,TRUE,,,
226,DOTSOV32_stripped.cif,LOW,LOW,5.798873443,TRUE,,,
341,DOTSOV23_stripped.cif,LOW,LOW,5.789447861,TRUE,,,
28,DOTSOV29_stripped.cif,LOW,LOW,5.781914748,TRUE,,,
301,DOTSOV26_stripped.cif,LOW,LOW,5.779680187,TRUE,,,
621,DIRPOL_stripped.cif,LOW,LOW,5.779637828,TRUE,,,
