Thresholds,False Positive Rate,True Positive Rate
0.046,0.5107334525939177,0.997624703087886
0.044,0.5205724508050089,0.997624703087886
0.042,0.5286225402504472,0.997624703087886
0.04,0.5348837209302325,0.9984164687252574
0.038,0.5438282647584973,0.9984164687252574
0.036,0.5518783542039356,0.9984164687252574
0.034,0.554561717352415,0.9984164687252574
0.032,0.5635062611806798,0.9984164687252574
0.03,0.5688729874776386,0.9992082343626286
0.028,0.5742397137745975,0.9992082343626286
0.026,0.5840787119856887,0.9992082343626286
0.024,0.5983899821109123,0.9992082343626286
0.022,0.6046511627906976,0.9992082343626286
0.02,0.6216457960644007,0.9992082343626286
0.018,0.6368515205724508,0.9992082343626286
0.016,0.646690518783542,1.0
0.014,0.6592128801431127,1.0
0.012,0.684257602862254,1.0
0.01,0.7012522361359571,1.0
0.008,0.740608228980322,1.0
0.006,0.7719141323792487,1.0
0.004,0.8103756708407871,1.0
0.002,0.8801431127012522,1.0
0.0,1.0,1.0
